loss,params,iteration,estimators,train_time
1.0,"{'colsample_bytree': 0.9418507446378913, 'learning_rate': 0.018675872988718433, 'min_child_samples': 170, 'num_leaves': 405, 'reg_alpha': 0.5985119228590867, 'reg_lambda': 0.5845451820124326, 'subsample_for_bin': 200000}",1,1,1.0484413
0.7682330176247246,"{'colsample_bytree': 0.9178200671760697, 'learning_rate': 0.035742378218536576, 'min_child_samples': 45, 'num_leaves': 450, 'reg_alpha': 0.5005020213127344, 'reg_lambda': 0.45121616279208887, 'subsample_for_bin': 170000}",2,75,1.9391479999999999
0.6725571875973654,"{'colsample_bytree': 0.9302193122215846, 'learning_rate': 0.05565441586040854, 'min_child_samples': 125, 'num_leaves': 310, 'reg_alpha': 0.8878029074840853, 'reg_lambda': 0.9836336562472392, 'subsample_for_bin': 150000}",3,194,2.6613615999999998
1.0,"{'colsample_bytree': 0.9320370662714172, 'learning_rate': 0.07866054762015, 'min_child_samples': 415, 'num_leaves': 375, 'reg_alpha': 0.47827923423293384, 'reg_lambda': 0.0627262749115356, 'subsample_for_bin': 90000}",4,1,0.9355794
1.0,"{'colsample_bytree': 0.9993498466798588, 'learning_rate': 0.017934544496484815, 'min_child_samples': 260, 'num_leaves': 25, 'reg_alpha': 0.2092981310373776, 'reg_lambda': 0.8946886330215067, 'subsample_for_bin': 10000}",5,1,0.7101919999999993
1.0,"{'colsample_bytree': 0.999376335560745, 'learning_rate': 0.08783831758750019, 'min_child_samples': 230, 'num_leaves': 80, 'reg_alpha': 0.16571225625681618, 'reg_lambda': 0.43702345115978314, 'subsample_for_bin': 80000}",6,1,0.7258357999999996
1.0,"{'colsample_bytree': 0.8255348020501403, 'learning_rate': 0.019312347539552403, 'min_child_samples': 175, 'num_leaves': 350, 'reg_alpha': 0.7926928706035059, 'reg_lambda': 0.37338116932867904, 'subsample_for_bin': 130000}",7,1,0.9614312999999992
1.0,"{'colsample_bytree': 0.6249338478686369, 'learning_rate': 0.09300560371484937, 'min_child_samples': 175, 'num_leaves': 165, 'reg_alpha': 0.3479679339377224, 'reg_lambda': 0.7792709409751215, 'subsample_for_bin': 60000}",8,1,0.7648478999999995
1.0,"{'colsample_bytree': 0.9432751387270009, 'learning_rate': 0.040118914534607024, 'min_child_samples': 475, 'num_leaves': 185, 'reg_alpha': 0.8695100073452218, 'reg_lambda': 0.44076667329472063, 'subsample_for_bin': 110000}",9,1,0.8155403000000003
1.0,"{'colsample_bytree': 0.634055581772665, 'learning_rate': 0.017532163285674928, 'min_child_samples': 420, 'num_leaves': 40, 'reg_alpha': 0.78739503162987, 'reg_lambda': 0.5520827853417427, 'subsample_for_bin': 150000}",10,1,0.7330317000000015
1.0,"{'colsample_bytree': 0.9765210540364683, 'learning_rate': 0.048936410244575575, 'min_child_samples': 410, 'num_leaves': 430, 'reg_alpha': 0.17616663325172033, 'reg_lambda': 0.7234573267040174, 'subsample_for_bin': 120000}",11,1,1.0023945000000012
1.0,"{'colsample_bytree': 0.812601608139505, 'learning_rate': 0.19551187838964745, 'min_child_samples': 435, 'num_leaves': 85, 'reg_alpha': 0.2878847550683644, 'reg_lambda': 0.01708657132205149, 'subsample_for_bin': 160000}",12,1,0.7471283
0.44644252074100066,"{'colsample_bytree': 0.9523799711216276, 'learning_rate': 0.055447027994085955, 'min_child_samples': 65, 'num_leaves': 150, 'reg_alpha': 0.9748302452710026, 'reg_lambda': 0.23383881520136884, 'subsample_for_bin': 30000}",13,176,2.259991600000001
1.0,"{'colsample_bytree': 0.7793457880978039, 'learning_rate': 0.019199675385015214, 'min_child_samples': 225, 'num_leaves': 310, 'reg_alpha': 0.1916434813532829, 'reg_lambda': 0.6896940625642513, 'subsample_for_bin': 130000}",14,1,0.8771398000000001
1.0,"{'colsample_bytree': 0.6168746718556931, 'learning_rate': 0.03565154266775181, 'min_child_samples': 225, 'num_leaves': 180, 'reg_alpha': 0.41007410794253185, 'reg_lambda': 0.45276116373350317, 'subsample_for_bin': 190000}",15,1,0.7896767000000011
1.0,"{'colsample_bytree': 0.8482706737493708, 'learning_rate': 0.17232942613953312, 'min_child_samples': 485, 'num_leaves': 370, 'reg_alpha': 0.010598426894564361, 'reg_lambda': 0.7063665010867298, 'subsample_for_bin': 70000}",16,1,0.9369206000000005
1.0,"{'colsample_bytree': 0.9535956259594713, 'learning_rate': 0.011767912024933956, 'min_child_samples': 110, 'num_leaves': 360, 'reg_alpha': 0.3369787449812449, 'reg_lambda': 0.5773835691302064, 'subsample_for_bin': 20000}",17,1,0.976219099999998
1.0,"{'colsample_bytree': 0.7534379126153334, 'learning_rate': 0.03598378193909862, 'min_child_samples': 135, 'num_leaves': 170, 'reg_alpha': 0.9645612747608906, 'reg_lambda': 0.9616204046171472, 'subsample_for_bin': 40000}",18,1,0.8418942999999999
1.0,"{'colsample_bytree': 0.9073424083911025, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 350, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 110000}",19,1,0.9482719000000017
0.7015590887832578,"{'colsample_bytree': 0.8724885154988022, 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 170, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 200000}",20,82,1.4365522000000013
0.3729648197706372,"{'colsample_bytree': 0.7183994614587972, 'learning_rate': 0.12949966655294162, 'min_child_samples': 25, 'num_leaves': 255, 'reg_alpha': 0.9882700594589847, 'reg_lambda': 0.22086785952277388, 'subsample_for_bin': 40000}",21,46,1.533685300000002
0.4407650065107259,"{'colsample_bytree': 0.6957321158606034, 'learning_rate': 0.13200103403195168, 'min_child_samples': 35, 'num_leaves': 235, 'reg_alpha': 0.9843456789061374, 'reg_lambda': 0.2325788454792953, 'subsample_for_bin': 40000}",22,38,1.3811420000000005
1.0,"{'colsample_bytree': 0.6954578989518674, 'learning_rate': 0.14020311157357096, 'min_child_samples': 335, 'num_leaves': 230, 'reg_alpha': 0.6689831649974256, 'reg_lambda': 0.22888594009491753, 'subsample_for_bin': 50000}",23,1,0.8266947000000009
0.6972648741110758,"{'colsample_bytree': 0.7026783034743398, 'learning_rate': 0.13724461643618388, 'min_child_samples': 35, 'num_leaves': 250, 'reg_alpha': 0.9872719423822203, 'reg_lambda': 0.2154958801265729, 'subsample_for_bin': 10000}",24,18,1.217073599999999
0.4391194328775172,"{'colsample_bytree': 0.6806849355434343, 'learning_rate': 0.12932460295664203, 'min_child_samples': 25, 'num_leaves': 275, 'reg_alpha': 0.6638835413137272, 'reg_lambda': 0.31235039843944246, 'subsample_for_bin': 40000}",25,24,1.4336506
1.0,"{'colsample_bytree': 0.6641101880221681, 'learning_rate': 0.16805219535643723, 'min_child_samples': 315, 'num_leaves': 285, 'reg_alpha': 0.6516606775304612, 'reg_lambda': 0.33232591778228093, 'subsample_for_bin': 80000}",26,1,0.8829117999999987
0.6046279679448323,"{'colsample_bytree': 0.740866980264815, 'learning_rate': 0.11848861237184295, 'min_child_samples': 20, 'num_leaves': 280, 'reg_alpha': 0.5435113536259198, 'reg_lambda': 0.1165298571132919, 'subsample_for_bin': 60000}",27,13,1.4136974000000002
0.7143704528128403,"{'colsample_bytree': 0.7242422741387945, 'learning_rate': 0.19826680378790978, 'min_child_samples': 80, 'num_leaves': 210, 'reg_alpha': 0.7116769130507477, 'reg_lambda': 0.3241801000003124, 'subsample_for_bin': 30000}",28,25,1.0834658999999967
1.0,"{'colsample_bytree': 0.6502294269517714, 'learning_rate': 0.024591576467599456, 'min_child_samples': 140, 'num_leaves': 130, 'reg_alpha': 0.604807902498091, 'reg_lambda': 0.17987166408743357, 'subsample_for_bin': 90000}",29,1,0.6560763999999963
0.45559435957720595,"{'colsample_bytree': 0.7748208503961298, 'learning_rate': 0.07082687646021889, 'min_child_samples': 100, 'num_leaves': 315, 'reg_alpha': 0.8890769609990467, 'reg_lambda': 0.30470931101749055, 'subsample_for_bin': 20000}",30,348,3.2534554
0.40754513410002613,"{'colsample_bytree': 0.6716038053539806, 'learning_rate': 0.10198679921231195, 'min_child_samples': 65, 'num_leaves': 480, 'reg_alpha': 0.5440636521800479, 'reg_lambda': 0.015494270595746373, 'subsample_for_bin': 60000}",31,157,2.3227694999999997
0.4913998829932591,"{'colsample_bytree': 0.7313877526032111, 'learning_rate': 0.09926087712716788, 'min_child_samples': 60, 'num_leaves': 490, 'reg_alpha': 0.44712820537693354, 'reg_lambda': 0.026877291697748214, 'subsample_for_bin': 60000}",32,65,1.6239095000000034
1.0,"{'colsample_bytree': 0.7808044148095117, 'learning_rate': 0.0632028989438178, 'min_child_samples': 290, 'num_leaves': 475, 'reg_alpha': 0.5518725115210936, 'reg_lambda': 0.16483688982432548, 'subsample_for_bin': 90000}",33,1,0.9180429999999973
1.0,"{'colsample_bytree': 0.6583411521514376, 'learning_rate': 0.02857255661641828, 'min_child_samples': 160, 'num_leaves': 415, 'reg_alpha': 0.12170346243507468, 'reg_lambda': 0.1228007638299452, 'subsample_for_bin': 70000}",34,1,0.8232518000000013
0.9012701713234579,"{'colsample_bytree': 0.6059885817186834, 'learning_rate': 0.1597103904710296, 'min_child_samples': 200, 'num_leaves': 450, 'reg_alpha': 0.06826465770202572, 'reg_lambda': 0.030095078758788658, 'subsample_for_bin': 100000}",35,98,1.5245055999999977
1.0,"{'colsample_bytree': 0.7156458210177721, 'learning_rate': 0.07919974530457835, 'min_child_samples': 255, 'num_leaves': 400, 'reg_alpha': 0.8545582980454145, 'reg_lambda': 0.001324735170049711, 'subsample_for_bin': 50000}",36,1,0.860506799999996
0.7521227302813652,"{'colsample_bytree': 0.6021387885751073, 'learning_rate': 0.08409270318675982, 'min_child_samples': 55, 'num_leaves': 125, 'reg_alpha': 0.24959799295283608, 'reg_lambda': 0.3794126742984529, 'subsample_for_bin': 20000}",37,31,1.0799062000000035
0.6173064790994618,"{'colsample_bytree': 0.6809296055268276, 'learning_rate': 0.10401304648632717, 'min_child_samples': 110, 'num_leaves': 315, 'reg_alpha': 0.7338346020784111, 'reg_lambda': 0.07995667624493466, 'subsample_for_bin': 80000}",38,118,1.5936797999999968
1.0,"{'colsample_bytree': 0.7586260484636982, 'learning_rate': 0.046352804067071395, 'min_child_samples': 200, 'num_leaves': 205, 'reg_alpha': 0.40371484384325385, 'reg_lambda': 0.5029334056592489, 'subsample_for_bin': 50000}",39,1,0.6942110000000028
1.0,"{'colsample_bytree': 0.6402600022796875, 'learning_rate': 0.010846733223537419, 'min_child_samples': 155, 'num_leaves': 390, 'reg_alpha': 0.933543450478399, 'reg_lambda': 0.27894936390851993, 'subsample_for_bin': 100000}",40,1,0.8489369000000053
1.0,"{'colsample_bytree': 0.7997526889580837, 'learning_rate': 0.055596909038561494, 'min_child_samples': 355, 'num_leaves': 330, 'reg_alpha': 0.5160010353810192, 'reg_lambda': 0.1462627039185338, 'subsample_for_bin': 70000}",41,1,0.7816802999999979
0.9368049581142516,"{'colsample_bytree': 0.8336603432748162, 'learning_rate': 0.18800893566798021, 'min_child_samples': 190, 'num_leaves': 65, 'reg_alpha': 0.8229181210701088, 'reg_lambda': 0.3986076276789142, 'subsample_for_bin': 130000}",42,84,1.1101310000000026
1.0,"{'colsample_bytree': 0.8747920579664696, 'learning_rate': 0.09017571525193425, 'min_child_samples': 265, 'num_leaves': 455, 'reg_alpha': 0.5967937135813138, 'reg_lambda': 0.6392252645596117, 'subsample_for_bin': 30000}",43,1,0.8864051999999987
0.4287786153176739,"{'colsample_bytree': 0.6782435410463444, 'learning_rate': 0.07031161555497764, 'min_child_samples': 70, 'num_leaves': 105, 'reg_alpha': 0.9180981265071482, 'reg_lambda': 0.05099493212664477, 'subsample_for_bin': 10000}",44,261,2.6062486999999948
0.39150448229893897,"{'colsample_bytree': 0.800791652097747, 'learning_rate': 0.11352105868928858, 'min_child_samples': 90, 'num_leaves': 260, 'reg_alpha': 0.32011185220222144, 'reg_lambda': 0.7981726303175635, 'subsample_for_bin': 150000}",45,348,3.1458489999999983
1.0,"{'colsample_bytree': 0.8701219024395502, 'learning_rate': 0.014034722616336263, 'min_child_samples': 125, 'num_leaves': 255, 'reg_alpha': 0.31367749222493163, 'reg_lambda': 0.7879847756240302, 'subsample_for_bin': 180000}",46,1,0.7436067000000008
0.8201738409304828,"{'colsample_bytree': 0.8033881816735037, 'learning_rate': 0.15607571904021328, 'min_child_samples': 95, 'num_leaves': 220, 'reg_alpha': 0.24077211376511176, 'reg_lambda': 0.857955137540256, 'subsample_for_bin': 150000}",47,29,0.9063765000000004
1.0,"{'colsample_bytree': 0.8254993823503017, 'learning_rate': 0.025688059009174157, 'min_child_samples': 465, 'num_leaves': 195, 'reg_alpha': 0.13072674759342984, 'reg_lambda': 0.9995816422008527, 'subsample_for_bin': 160000}",48,1,0.6194047999999981
0.5038984224497527,"{'colsample_bytree': 0.909811531307205, 'learning_rate': 0.06167222533913625, 'min_child_samples': 20, 'num_leaves': 340, 'reg_alpha': 0.3674608363763883, 'reg_lambda': 0.9191589458144647, 'subsample_for_bin': 140000}",49,32,1.6475659999999976
1.0,"{'colsample_bytree': 0.8899408263145475, 'learning_rate': 0.040551185117944484, 'min_child_samples': 250, 'num_leaves': 295, 'reg_alpha': 0.4552998731116742, 'reg_lambda': 0.8225443180416404, 'subsample_for_bin': 180000}",50,1,0.758427300000001
